replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20960744,100.0,0.01,1000,lof_bayes_optimal,,495,20000,0.02475,0.022686366616716806,0.026996163654610637,0.04605170185988092,0.5374394213552741
0,21060747,110.0,0.00909090909090909,900,alf_sqrt_epsilon,0.09534625892455922,1075,20000,0.05375,0.0507092799841526,0.056962112195920775,0.042731639689021966,1.2578501642147077
0,21060747,110.0,0.00909090909090909,900,alf_0.7_over_log,0.14892094967446853,700,20000,0.035,0.032540965604844575,0.03763762792733274,0.042731639689021966,0.8190652232095772
0,21060747,110.0,0.00909090909090909,900,alf_epsilon_squared,8.264462809917355e-05,8612,20000,0.4306,0.4237515289327725,0.43747512567181474,0.042731639689021966,10.076842431829824
0,21060747,110.0,0.00909090909090909,900,alf_delta_zero,0.0,9933,20000,0.49665,0.48972194507974887,0.503579341561827,0.042731639689021966,11.622535517343898
0,21060747,110.0,0.00909090909090909,900,alf_delta_one,1.0,2027,20000,0.10135,0.09724371466773107,0.10560939567980113,0.042731639689021966,2.3717788677797325
0,21060747,110.0,0.00909090909090909,900,lof_bayes_optimal,,497,20000,0.02485,0.02278211758273257,0.027100374281383652,0.042731639689021966,0.5815363084787998
0,21060747,110.0,0.00909090909090909,950,alf_sqrt_epsilon,0.09534625892455922,989,20000,0.04945,0.04653084675352752,0.05254219693662836,0.042731639689021966,1.1572221510775311
0,21060747,110.0,0.00909090909090909,950,alf_0.7_over_log,0.14892094967446853,678,20000,0.0339,0.03148005702416013,0.0364989589873406,0.042731639689021966,0.7933231733372761
0,21060747,110.0,0.00909090909090909,950,alf_epsilon_squared,8.264462809917355e-05,8680,20000,0.434,0.4271444383903338,0.44088091036907207,0.042731639689021966,10.156408767798755
0,21060747,110.0,0.00909090909090909,950,alf_delta_zero,0.0,10054,20000,0.5027,0.49577072877563144,0.5096282342296656,0.042731639689021966,11.764116791641555
0,21060747,110.0,0.00909090909090909,950,alf_delta_one,1.0,1970,20000,0.0985,0.09444693123396827,0.10270727371908375,0.042731639689021966,2.3050835567469528
0,21060747,110.0,0.00909090909090909,950,lof_bayes_optimal,,469,20000,0.02345,0.0214424627670463,0.025640566798027013,0.042731639689021966,0.5487736995504167
0,21060747,110.0,0.00909090909090909,1000,alf_sqrt_epsilon,0.09534625892455922,1052,20000,0.0526,0.04959121814298659,0.05578061572001583,0.042731639689021966,1.230938021166393
0,21060747,110.0,0.00909090909090909,1000,alf_0.7_over_log,0.14892094967446853,702,20000,0.0351,0.03263744572810331,0.03774110939686277,0.042731639689021966,0.8214054095616045
0,21060747,110.0,0.00909090909090909,1000,alf_epsilon_squared,8.264462809917355e-05,8510,20000,0.4255,0.41866278345502667,0.4323658299173329,0.042731639689021966,9.95749292787643
0,21060747,110.0,0.00909090909090909,1000,alf_delta_zero,0.0,10108,20000,0.5054,0.49847051329918535,0.5123274127114086,0.042731639689021966,11.827301823146293
0,21060747,110.0,0.00909090909090909,1000,alf_delta_one,1.0,2030,20000,0.1015,0.09739094247591573,0.10576211026079965,0.042731639689021966,2.3752891473077735
0,21060747,110.0,0.00909090909090909,1000,lof_bayes_optimal,,474,20000,0.0237,0.02168154829927182,0.025901385247773436,0.042731639689021966,0.554624165430485
0,21160750,120.0,0.008333333333333333,900,alf_sqrt_epsilon,0.09128709291752768,993,20000,0.04965,0.04672505899619379,0.05274790787953965,0.03989576452318371,1.2444930080522214
0,21160750,120.0,0.008333333333333333,900,alf_0.7_over_log,0.14621435139922037,627,20000,0.03135,0.029023452107865003,0.03385654328752186,0.03989576452318371,0.7857976999483817
0,21160750,120.0,0.008333333333333333,900,alf_epsilon_squared,6.944444444444444e-05,8454,20000,0.4227,0.41586927916165667,0.42956040961261716,0.03989576452318371,10.595109657677222
